type,name,date,start_time,timezone,location,distance_miles,description,crew_access,drop_bag,cutoff_elapsed_minutes,parking_lat,parking_lng,parking_type,parking_notes
# -----------------------------------------------------------------------
# RACE ROW — fill in one row of type "race", then delete this comment row
# -----------------------------------------------------------------------
race,Cruel Jewel 100,2025-05-16,12:00,America/New_York,"Blairsville, GA",104.3,104-mile loop through the Chattahoochee National Forest.,,,,,,
# -----------------------------------------------------------------------
# AID STATION ROWS — one row per station, type = "aid_station"
# name        : must match the waypoint name in your GPX (fuzzy matched)
# crew_access : true / false
# drop_bag    : true / false
# cutoff_elapsed_minutes : minutes from race start to cutoff (leave blank if none)
# parking_lat / parking_lng : decimal degrees (leave blank if no parking info)
# parking_type : parking-lot | side-of-road | trailhead | drop-off
# parking_notes : free text, max 500 chars
# -----------------------------------------------------------------------
aid_station,Camp Morganton Start/Finish,,,,,,,true,true,,34.8734,-84.0123,trailhead,Main lot at the campground entrance.
aid_station,Skeenah Gap,,,,,,,false,false,,,,,
aid_station,Mulky Gap,,,,,,,true,false,180,,,,
aid_station,Wilscot Gap,,,,,,,false,true,,,,,
aid_station,Shallowford Bridge,,,,,,,true,true,360,34.7512,-84.1893,parking-lot,Large gravel lot on the right before the bridge.
